bill	chamber	roll	date	yeas	nays	desc	status
HB3094	H	1538471	2025-04-07	69	37	Third Reading in House	screened:no-defensible-stance — a construction-industry carve-out from the Transportation Benefits Program Act
HB3094	S	1576105	2025-05-22	44	13	Third Reading in Senate	screened:no-defensible-stance — a construction-industry carve-out from the Transportation Benefits Program Act
HB4418	H	1722447	2026-04-09	69	33	House Third Reading	judged:batch-02
HB4418	S	1722448	2026-05-28	44	13	Senate Third Reading	judged:batch-02
HB5316	H	1723643	2026-04-09	70	35	House Third Reading	judged:batch-08
HB5316	S	1723644	2026-05-14	44	13	Senate Third Reading	judged:batch-08
HB4339	H	1718089	2026-04-08	77	24	House Third Reading	judged:batch-01
HB4339	S	1718090	2026-05-29	41	12	Senate Third Reading	judged:batch-01
SB3272	S	1718701	2026-04-14	41	12	Senate Third Reading	screened:mixed-direction — the concrete legal effect is exempting ICC expert hiring from the Procurement Code; clean-energy benefit is indirect
SB3272	H	1718702	2026-05-21	70	35	House Third Reading	screened:mixed-direction — the concrete legal effect is exempting ICC expert hiring from the Procurement Code; clean-energy benefit is indirect
HB4725	H	1722983	2026-04-16	79	23	House Third Reading	judged:batch-02
HB4725	S	1722984	2026-05-20	43	14	Senate Third Reading	judged:batch-02
HB4577	H	1718058	2026-04-08	80	26	House Third Reading	screened:superseded-roll — HB 4577 — the House later voted the enacted Senate version (roll 1718060); that concurrence is the imported roll
HB4577	S	1718059	2026-05-20	45	13	Senate Third Reading	judged:batch-05
HB4577	H	1718060	2026-05-27	76	27	House Concurrence	judged:batch-05
SB3465	S	1718180	2026-04-15	37	14	Senate Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB3465	H	1718181	2026-05-27	71	37	House Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB3465	S	1718182	2026-05-31	45	13	Senate Concurrence	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB1348	S	1541926	2025-04-09	42	12	Third Reading in Senate	screened:no-defensible-stance — sheriff process-service fee amounts
SB1348	H	1575109	2025-05-21	71	37	Third Reading in House	screened:no-defensible-stance — sheriff process-service fee amounts
HB5090	H	1719024	2026-05-31	83	28	House Concurrence	judged:batch-03 — imported with official_vote_date 2026-06-01 (ILGA action trail)
HB5090	S	1719026	2026-05-31	42	12	Senate Third Reading	judged:batch-02
SB3329	S	1719489	2026-04-29	42	12	Senate Third Reading	screened:contested-direction — deletes a firearm-transfer element from the order-of-protection offense while adding others
SB3329	H	1719490	2026-05-21	78	28	House Third Reading	screened:contested-direction — deletes a firearm-transfer element from the order-of-protection offense while adding others
HB3026	H	1586231	2025-04-08	77	35	Third Reading in House	judged:batch-02
HB3026	S	1586232	2025-05-22	43	12	Third Reading in Senate	judged:batch-02
HB2517	H	1544745	2025-04-10	82	29	Third Reading in House	judged:batch-02
HB2517	S	1575419	2025-05-21	44	12	Third Reading in Senate	judged:batch-02
HB0250	H	1576183	2025-05-22	72	37	Third Reading in House	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB0250	S	1719741	2025-10-29	45	12	Senate Third Reading	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB0250	H	1719742	2025-10-30	76	37	House Concurrence	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB1430	H	1538841	2025-04-07	67	38	Third Reading in House	judged:batch-04
HB1430	S	1576619	2025-05-22	46	12	Third Reading in Senate	judged:batch-04
HB4461	H	1718198	2026-04-16	74	37	House Third Reading	judged:batch-02
HB4461	S	1718199	2026-05-19	46	12	Senate Third Reading	judged:batch-02
HB1373	H	1540287	2025-04-08	75	40	Third Reading in House	judged:batch-01
HB1373	S	1582371	2025-05-31	43	11	Third Reading in Senate	judged:batch-01
SB2285	S	1544867	2025-04-10	43	11	Third Reading in Senate	screened:no-defensible-stance — redefines bicycle in the Vehicle Code
SB2285	H	1575956	2025-05-22	76	38	Third Reading in House	screened:no-defensible-stance — redefines bicycle in the Vehicle Code
SB3772	S	1718025	2026-04-29	43	11	Senate Third Reading	judged:batch-01
SB3772	H	1718026	2026-05-30	73	39	House Third Reading	judged:batch-01
SB2266	S	1541817	2025-04-09	44	11	Third Reading in Senate	screened:contested-direction — exempts non-community water supplies from the Act except for enumerated purposes
SB2266	H	1578737	2025-05-27	75	39	Third Reading in House	screened:contested-direction — exempts non-community water supplies from the Act except for enumerated purposes
HB4379	H	1719876	2026-04-17	72	18	House Third Reading	judged:batch-02
HB4379	H	1719877	2026-05-31	83	22	House Concurrence	screened:superseded-roll — another roll on this measure was judged in batch-02 under the one-roll-per-chamber rule
HB4379	S	1719878	2026-05-31	46	12	Senate Third Reading	judged:batch-02
HB2546	S	1576509	2025-05-22	33	21	Third Reading in Senate	screened:contested-direction — parole review for under-21 offenders
HB3662	H	1543398	2025-04-09	72	42	Third Reading in House	dropped:filter-3 — the enacted text extends tax increment financing deadlines for eight named municipalities
SB3066	H	1724228	2026-05-21	70	40	House Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB1667	H	1574060	2025-05-20	73	40	Third Reading in House	dropped:filter-3 — unclaimed property remittance and finder licensing fall under no research area
SB0067	H	1575955	2025-05-22	75	40	Third Reading in House	judged:batch-08
SB3917	H	1718613	2026-05-22	64	34	House Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
HB4540	H	1721350	2026-04-14	72	38	House Third Reading	dropped:filter-3 — making companion animals subject to the replevin article falls under no research area
HB1712	H	1541838	2025-04-09	76	40	Third Reading in House	dropped:filter-3 — approving and posting POLST training material is administrative
HB2771	H	1542484	2025-04-09	76	40	Third Reading in House	dropped:superseded-roll — the divided House roll was cast on the original certificate-fee text; the Senate replaced the bill with hospital assessment provisions, so that roll is not a vote on the law
SB1261	H	1575131	2025-05-21	71	37	Third Reading in House	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
HB3566	H	1544647	2025-04-10	73	38	Third Reading in House	judged:batch-07
HB3800	H	1544997	2025-04-10	73	38	Third Reading in House	dropped:filter-5 — an insurance omnibus covering network adequacy, dental plans, public adjuster fees and more, with no single direction
HB4160	H	1719799	2026-04-14	73	38	House Third Reading	screened:superseded-roll — HB 4160 — the House vote on the enacted Senate version was 115-0 (roll 1719801), not divided, so this earlier roll is not a vote on the law
HB4702	H	1723007	2026-04-14	73	38	House Third Reading	judged:batch-05
HB1699	H	1586223	2025-04-09	75	39	Third Reading in House	dropped:filter-3 — renaming a provisional water-operator certificate an operator-in-training program is administrative
SB1594	H	1576878	2025-05-23	72	37	Third Reading in House	dropped:filter-3 — the act only renames the Emergency Medical Disaster Plan
HB5135	H	1719507	2026-04-09	72	37	House Third Reading	dropped:filter-3 — the act removes a reimbursement summary from an annual adult education report
HB3409	H	1540439	2025-04-08	69	38	Third Reading in House	screened:superseded-roll — HB 3409 — the House later voted the enacted Senate version (roll 1720411); that concurrence is the imported roll
HB3409	H	1720411	2026-05-29	74	38	House Concurrence	judged:batch-07
SB2280	H	1576913	2025-05-23	71	36	Third Reading in House	judged:batch-06
SB1181	H	1576020	2025-05-22	75	38	Third Reading in House	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
HB2516	H	1543848	2025-04-10	71	39	Third Reading in House	screened:superseded-roll — HB 2516 — the House later voted the enacted Senate version (roll 1582721); that concurrence is the imported roll
HB2516	H	1582721	2025-05-31	77	39	Concurrence in House	judged:batch-04
HB1302	H	1541943	2025-04-09	76	38	Third Reading in House	screened:contested-direction — deletes a provision on motions to vacate trafficking-related convictions
HB0742	H	1545113	2025-04-10	74	37	Third Reading in House	dropped:filter-5 — the enacted text only postpones the Interchange Fee Prohibition Act by a year; a delay pending litigation has no defensible for/against direction
SB1441	H	1575391	2025-05-21	74	37	Third Reading in House	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB1560	H	1575406	2025-05-21	72	36	Third Reading in House	judged:batch-06
SB3942	H	1722712	2026-05-30	76	38	House Third Reading	screened:contested-direction — juvenile release notification changes
HB2394	H	1540396	2025-04-08	75	37	Third Reading in House	dropped:filter-5 — a 2,000-pound weight allowance for battery and hydrogen vehicles helps clean fuels and adds road wear; the direction cuts both ways
HB3309	H	1545366	2025-04-11	75	37	Third Reading in House	dropped:filter-3 — notice to a state labor organization is an employment procedure and no labor research area exists
HB3460	H	1717984	2026-04-16	75	37	House Third Reading	judged:batch-07
HB4327	H	1718643	2026-05-28	75	37	House Third Reading	dropped:filter-3 — the enacted text orders a Department of Insurance study of the 340B drug discount program; a study alone carries no direction
SB1989	S	1718359	2025-10-30	39	19	Senate Concurrence	screened:local-or-narrow — one village, district or fee; not a statewide position
HB4826	H	1722873	2026-04-08	71	37	House Third Reading	dropped:filter-3 — allowing continuing education credit for courses on recognizing crime victimization is an administrative rule
HB4826	H	1722875	2026-05-27	74	36	House Concurrence	dropped:filter-3 — allowing continuing education credit for courses on recognizing crime victimization is an administrative rule
HB1616	H	1539121	2025-04-07	70	34	Third Reading in House	judged:batch-04
HB5269	H	1723096	2026-04-09	70	34	House Third Reading	dropped:filter-3 — quorum rules and federal citation updates for the Guardianship and Advocacy Commission are administrative
HB3638	H	1539857	2025-04-08	77	37	Third Reading in House	dropped:filter-5 — the enacted amendment removes the seven-year limit on agreements that bar a former employee from reapplying while keeping other transparency duties; the direction cuts both ways
SB3037	H	1717358	2026-05-27	75	36	House Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB3565	H	1718521	2026-05-29	73	35	House Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB2179	H	1576017	2025-05-22	76	36	Third Reading in House	dropped:filter-3 — the enacted change removes cannabis possession language from a watercraft registration act
SB0314	H	1580584	2025-05-28	77	36	Third Reading in House	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB0862	H	1722806	2026-05-31	77	36	House Concurrence	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
SB1743	H	1718322	2026-05-22	67	31	House Third Reading	judged:batch-06
SB2309	H	1575876	2025-05-22	78	36	Third Reading in House	screened:local-or-narrow — one village, district or fee; not a statewide position
SB1920	H	1576860	2025-05-23	74	34	Third Reading in House	judged:batch-06
SB3205	H	1723275	2026-05-21	74	34	House Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
HB1085	H	1539077	2025-04-07	72	33	Third Reading in House	dropped:superseded-roll — Senate Floor Amendment 3 replaced the whole bill; the House vote on the enacted text was 86-19, not divided, so the 72-33 roll is not a vote on the law
SB3897	H	1724256	2026-05-22	68	31	House Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB2426	H	1581829	2025-05-29	77	35	Third Reading in House	dropped:filter-3 — proof of ownership for hauling licensed timber falls under no research area
HB1810	H	1718111	2026-04-16	72	34	House Third Reading	screened:contested-direction — renames earned sentence credit and changes eligibility
HB1810	H	1718113	2026-05-31	80	36	House Concurrence	screened:contested-direction — renames earned sentence credit and changes eligibility
HB4537	H	1721921	2026-05-30	80	35	House Concurrence	screened:local-or-narrow — one village, district or fee; not a statewide position
SB0175	H	1575156	2025-05-21	76	33	Third Reading in House	judged:batch-08
HB4255	H	1718515	2026-04-14	76	33	House Third Reading	dropped:filter-3 — banning big cats from traveling animal acts is an animal welfare measure and no research area covers it
HB4606	H	1718840	2026-04-08	73	31	House Third Reading	judged:batch-05
SB0069	H	1574406	2025-05-20	78	33	Third Reading in House	judged:batch-08
HB5284	H	1719226	2026-04-17	71	32	House Third Reading	screened:superseded-roll — HB 5284 — the House later voted the enacted Senate version (roll 1719228); that concurrence is the imported roll
HB5284	H	1719228	2026-05-28	78	33	House Concurrence	judged:batch-08
HB5460	H	1720537	2026-04-15	76	32	House Third Reading	judged:batch-08
HB1576	H	1541250	2025-04-08	75	38	Third Reading in House	dropped:filter-3 — Court of Claims judge terms and filing fees fall under no research area
HB1576	H	1582419	2025-05-31	81	34	Concurrence in House	dropped:filter-3 — Court of Claims judge terms and filing fees fall under no research area
HB4536	S	1723121	2026-05-20	41	17	Senate Third Reading	dropped:filter-3 — the act only redefines trauma terms used in regional institute training
SB1614	H	1582070	2025-05-30	80	33	Third Reading in House	screened:local-or-narrow — one village, district or fee; not a statewide position
HB3595	H	1720951	2026-05-31	80	33	House Concurrence	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
SB4006	H	1717874	2026-05-27	78	32	House Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
HB5070	H	1723157	2026-04-09	69	28	House Third Reading	judged:batch-05
SB3222	H	1718754	2026-05-31	77	31	House Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
HB1586	H	1539140	2025-04-07	68	38	Third Reading in House	screened:contested-direction — merit-standard changes to State service positions
HB1586	H	1582042	2025-05-30	82	33	Concurrence in House	screened:contested-direction — merit-standard changes to State service positions
HB2488	H	1542203	2025-04-09	79	37	Third Reading in House	dropped:filter-3 — the enacted text only updates federal report and agency references in the Equal Pay and Prevailing Wage Acts
HB2488	H	1582278	2025-05-30	82	33	Concurrence in House	dropped:filter-3 — the enacted text only updates federal report and agency references in the Equal Pay and Prevailing Wage Acts
SB2913	H	1717483	2026-05-21	78	31	House Third Reading	dropped:filter-5 — removing the student growth component when a district and its teachers cannot agree is contested in both directions
SB2696	H	1723235	2026-05-29	77	30	House Third Reading	screened:local-or-narrow — one village, district or fee; not a statewide position
SB3422	H	1723289	2026-05-21	77	30	House Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB2506	H	1576001	2025-05-22	81	31	Third Reading in House	dropped:filter-3 — the act only sets the membership of a zoning impacts task force
HB3019	H	1582746	2025-05-31	84	32	Concurrence in House	judged:batch-04
SB2019	H	1576074	2025-05-22	83	31	Third Reading in House	dropped:filter-3 — requiring a boating safety certificate for electric-motor boats is a narrow licensing rule with no research area
HB5551	H	1717980	2026-05-28	81	30	House Concurrence	dropped:filter-3 — the act mixes an end date for aid recomputation, separate public day school rules and teaching program cohort sizes, with no single subject
HB4491	H	1718374	2026-04-16	81	30	House Third Reading	dropped:filter-3 — line-of-duty illness pay for public employees is an employment benefit and no labor research area exists
SB1947	H	1575845	2025-05-22	84	31	Third Reading in House	judged:batch-06
HB1628	H	1542832	2025-04-09	82	30	Third Reading in House	dropped:filter-5 — the enacted amendment both adds and removes forfeiture reporting duties, so the direction cuts both ways
HB0032	H	1544740	2025-04-10	82	30	Third Reading in House	screened:local-or-narrow — one village, district or fee; not a statewide position
HB0032	H	1582359	2025-05-31	77	40	Concurrence in House	screened:local-or-narrow — one village, district or fee; not a statewide position
HB4587	H	1723152	2026-04-16	77	28	House Third Reading	dropped:filter-3 — a 12-month interim conditional child care director credential is a staffing rule with no research area
HB3046	H	1541083	2025-04-08	83	30	Third Reading in House	dropped:filter-3 — confirming that a university collective bargaining agreement may enhance employee rights has no research area (no labor area exists)
SB2735	H	1724320	2026-05-27	78	28	House Third Reading	screened:local-or-narrow — one village, district or fee; not a statewide position
HB2464	H	1546298	2025-04-11	84	30	Third Reading in House	judged:batch-04
SB2253	H	1580688	2025-05-28	84	30	Third Reading in House	screened:local-or-narrow — one village, district or fee; not a statewide position
HB3200	H	1545966	2025-04-11	85	30	Third Reading in House	dropped:filter-3 — recovering unclaimed property from people found ineligible for unemployment benefits is a collections mechanism with no research area
SB4025	H	1723679	2026-05-28	83	29	House Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB1173	H	1575317	2025-05-21	81	28	Third Reading in House	judged:batch-08
HB3811	H	1720802	2026-04-16	81	28	House Third Reading	dropped:filter-3 — shortening a successor guardian notice period from 120 to 60 days falls under no research area
SB1344	H	1582483	2025-05-31	87	30	Third Reading in House	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB3107	H	1718235	2026-05-27	79	27	House Third Reading	screened:local-or-narrow — one village, district or fee; not a statewide position
SB4041	H	1724011	2026-05-22	71	24	House Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
HB2987	H	1586220	2025-05-20	83	28	Third Reading in House	judged:batch-04
SB3314	H	1723917	2026-05-21	83	28	House Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB0807	S	1722658	2026-05-07	42	14	Senate Third Reading	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
SB0212	H	1574922	2025-05-21	82	27	Third Reading in House	judged:batch-08
HB5511	H	1722070	2026-04-16	82	27	House Third Reading	dropped:filter-5 — device-level age signals for minors trade a child-safety gain against an age-verification cost to every user; the direction is contested
HB1224	H	1541808	2025-04-09	79	35	Third Reading in House	dropped:filter-3 — retainage limits on state construction contracts fall under no research area
HB1224	H	1582864	2025-05-31	86	28	Concurrence in House	dropped:filter-3 — retainage limits on state construction contracts fall under no research area
HB1224	H	1717523	2025-06-01	86	28	House Concurrence	dropped:filter-3 — retainage limits on state construction contracts fall under no research area
SB0024	H	1582508	2025-05-31	87	28	Third Reading in House	judged:batch-08
HB3275	H	1544772	2025-04-10	85	27	Third Reading in House	screened:superseded-roll — HB 3275 — the House vote on the enacted Senate version was 115-0 (roll 1721418), not divided, so this earlier roll is not a vote on the law
HB4890	H	1722906	2026-04-16	82	26	House Third Reading	judged:batch-05
SB2761	H	1717623	2026-05-21	79	25	House Third Reading	dropped:filter-3 — adding service animals to existing school ADA in-service training is a training-content tweak
HB4948	H	1717950	2026-04-16	77	24	House Third Reading	judged:batch-05
HB4535	H	1721044	2026-04-08	81	25	House Third Reading	dropped:filter-3 — not counting a polling-place e-learning day toward a district emergency-day minimum is administrative
HB3193	H	1546245	2025-04-11	85	26	Third Reading in House	dropped:filter-3 — pension trustee and consultant indemnification falls under no research area
SB2762	H	1720826	2026-05-29	82	25	House Third Reading	judged:batch-06
SB2914	H	1721514	2026-05-21	83	25	House Third Reading	dropped:filter-3 — the notice a school board must give before dismissal charges is an employment procedure and no labor research area exists
HB1332	H	1541594	2025-04-09	87	26	Third Reading in House	dropped:filter-3 — hospital emergency-contact and caregiver designation is neither a cost nor a public-health question; no research area fits
HB3711	H	1544505	2025-04-10	87	26	Third Reading in House	screened:superseded-roll — HB 3711 — the House vote on the enacted Senate version was 116-0 (roll 1717299), not divided, so this earlier roll is not a vote on the law
SB1799	H	1576863	2025-05-23	83	24	Third Reading in House	dropped:filter-3 — emergency contracting for school non-instructional services is administrative
HB3097	H	1545290	2025-04-10	84	24	Third Reading in House	judged:batch-07
SB1491	H	1575282	2025-05-21	87	24	Third Reading in House	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
SB2972	H	1717891	2026-05-21	80	22	House Third Reading	judged:batch-06
SB2408	H	1578857	2025-05-27	88	24	Third Reading in House	dropped:filter-3 — emergency management mobile support team authority is administrative
HB2564	H	1719186	2026-04-08	76	29	House Third Reading	dropped:filter-3 — teacher pension employer-contribution thresholds fall under no research area
HB2564	H	1719188	2026-05-31	92	25	House Concurrence	dropped:filter-3 — teacher pension employer-contribution thresholds fall under no research area
HB0598	H	1720770	2026-02-24	81	22	House Third Reading	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB4514	H	1723013	2026-04-17	81	22	House Third Reading	judged:batch-05
HB3385	H	1582496	2025-05-31	91	24	Concurrence in House	judged:batch-07
HB1859	S	1575036	2025-05-21	46	12	Third Reading in Senate	judged:batch-04
HB0228	S	1716954	2026-05-20	46	12	Senate Third Reading	screened:technical-or-omnibus — multi-act cleanup with no single nameable subject
HB4397	S	1722086	2026-05-19	46	12	Senate Third Reading	judged:batch-05
HB3352	H	1544842	2025-04-10	89	23	Third Reading in House	judged:batch-07
SB1793	H	1576137	2025-05-22	90	23	Third Reading in House	dropped:filter-3 — rules for scattering cremated remains in a river fall under no research area
SB3020	H	1718891	2026-05-27	91	23	House Third Reading	candidate:unbatched — synopsis screen says stance-defensible; awaiting judging capacity
