measure	chamber	roll	date	question	yea	nay	earlier_rolls	bill_type	status	title	description	disposition	reason
SB641	house	1608559	2025-05-08	third reading	58	32		B	4	Motor vehicle repair; creating the Oklahoma Motor Vehicle Consumer Protection Act; establishing certain hourly market rate for labor. Effective date.	Motor vehicle repair; creating the Oklahoma Motor Vehicle Consumer Protection Act; establishing certain hourly market rate for labor. Effective date.		
SB658	house	1608868	2025-05-06	third reading	68	19		B	4	Oklahoma Children's Code; prohibiting certain actions by the Department of Human Services in relation to adoptive and foster parents. Effective date.	Oklahoma Children's Code; prohibiting certain actions by the Department of Human Services in relation to adoptive and foster parents. Effective date.		
SB662	house	1607632	2025-05-06	third reading	67	20		B	4	Workforce development; authorizing the Oklahoma Workforce Commission to implement certain programs. Effective date.	Workforce development; authorizing the Oklahoma Workforce Commission to implement certain programs. Effective date.		
SB663	house	1607706	2025-05-06	third reading	63	23		B	4	Workforce Coordination Revolving Fund; transferring power of fund to the Oklahoma Workforce Commission. Emergency.	Workforce Coordination Revolving Fund; transferring power of fund to the Oklahoma Workforce Commission. Emergency.		
SB674	house	1605688	2025-05-06	third reading	61	20		B	4	Charter schools; Charter Schools Incentive Fund; renaming; state funding; calculation; payments.	Charter schools; Charter Schools Incentive Fund; renaming; state funding; calculation; payments.		
SB680	house	1669430	2026-03-24	third reading	52	38		B	4	Tobacco products; modifying definition; providing exemption. Effective date.	Tobacco products; modifying definition; providing exemption. Effective date.		
SB684	house	1604764	2025-05-21	fourth reading	68	23	1604762	B	4	Income tax credit; relating to the Oklahoma Parental Choice Tax Credit Act; modifying tax years for which certain annual credit limit is enforced; prescribing procedure for enforcement of annual limit. Effective date. Emergency.	Income tax credit; relating to the Oklahoma Parental Choice Tax Credit Act; modifying tax years for which certain annual credit limit is enforced; prescribing procedure for enforcement of annual limit. Effective date. Emergency.		
SB688	house	1608221	2025-05-08	third reading	69	22		B	4	Ad valorem tax; providing exception to certain payroll requirements for manufacturing exemption. Emergency.	Ad valorem tax; providing exception to certain payroll requirements for manufacturing exemption. Emergency.		
SB701	house	1604597	2025-05-06	third reading	51	43		B	4	Higher education; authorizing the approval of functional exceptions; expanding classes and programs offered to the people of Muskogee. Effective date.	Higher education; authorizing the approval of functional exceptions; expanding classes and programs offered to the people of Muskogee. Effective date.		
SB713	house	1605179	2025-05-30	veto override without emergency	68	17	1605176	B	4	Wind energy facilities; requiring newly-established facilities to apply for certain technology system by certain date; providing for certain cost recovery. Effective date.	Wind energy facilities; requiring newly-established facilities to apply for certain technology system by certain date; providing for certain cost recovery. Effective date.		
SB743	house	1606789	2025-05-06	third reading	73	21		B	4	Criminal disturbance; specifying range of punishment for certain offenses; modifying elements of certain offense. Emergency.	Criminal disturbance; specifying range of punishment for certain offenses; modifying elements of certain offense. Emergency.		
SB758	house	1608099	2025-04-29	third reading	53	32		B	4	Schools; providing conditions under which virtual instruction may count toward certain required instructional hours or days.	Schools; providing conditions under which virtual instruction may count toward certain required instructional hours or days.		
SB889	house	1605300	2025-05-07	third reading	51	38		B	4	Hospitals; requiring hospitals to make public certain file and list; authorizing compliance monitoring and enforcement; prohibiting certain collection actions. Effective date.	Hospitals; requiring hospitals to make public certain file and list; authorizing compliance monitoring and enforcement; prohibiting certain collection actions. Effective date.		
SB942	house	1606425	2025-04-30	third reading	56	29		B	4	Education; prohibiting certain discrimination on certain basis against students or employees.	Education; prohibiting certain discrimination on certain basis against students or employees.		
SB987	house	1607747	2025-05-05	third reading	62	30		B	4	Oklahoma Department of Commerce; creating the Oklahoma Department of Commerce Board; providing for qualifications for Board members. Effective date.	Oklahoma Department of Commerce; creating the Oklahoma Department of Commerce Board; providing for qualifications for Board members. Effective date.		
SB991	house	1608374	2025-04-30	third reading	62	24		B	4	Discrimination; adopting certain definition of anti-Semitism; stating purposes for use of certain definition.	Discrimination; adopting certain definition of anti-Semitism; stating purposes for use of certain definition.		
SB998	house	1608521	2025-05-06	third reading	51	39		B	4	Public utilities; cost of transmission upgrades; modifying application process for construction of certain facilities; establishing cost recovery provisions.	Public utilities; cost of transmission upgrades; modifying application process for construction of certain facilities; establishing cost recovery provisions.		
HB1017	senate	1606645	2025-04-29	third reading	32	13		B	4	Higher education; Oklahoma College Athletic Conference Act; Oklahoma NCAA Division II Athletic Conference Exploration Commission; emergency.	Higher education; Oklahoma College Athletic Conference Act; Oklahoma NCAA Division II Athletic Conference Exploration Commission; emergency.		
HB1034	senate	1607911	2025-05-07	third reading	32	8		B	4	Sunset; Archives and Records Commission; extending sunset year.	Sunset; Archives and Records Commission; extending sunset year.		
HB1062	senate	1608331	2025-04-28	third reading	25	17		B	4	Alcoholic beverages; employee license; age; restrictions; effective date.	Alcoholic beverages; employee license; age; restrictions; effective date.		
HB1087	senate	1606355	2025-05-28	fourth reading	35	12	1606354	B	4	Education; length of school year; extending amount of classroom instruction time; minimum salary schedule; adding years of experience to minimum salary amounts; effective date; emergency.	Education; length of school year; extending amount of classroom instruction time; minimum salary schedule; adding years of experience to minimum salary amounts; effective date; emergency.		
HB1168	senate	1692107	2026-04-30	third reading	37	10		B	4	Abortion-inducing drugs; terms; trafficking; felony; exceptions; effective date.	Abortion-inducing drugs; terms; trafficking; felony; exceptions; effective date.		
HB1178	senate	1608000	2025-05-29	veto override no emergency	35	9	1607999	B	4	Service animals; making certain acts unlawful; penalties; effective date.	Service animals; making certain acts unlawful; penalties; effective date.		
HB1187	senate	1605618	2025-04-28	third reading	35	9		B	4	Oklahoma Employees Insurance and Benefits Act; opt-out option; removing group insurance; effective date.	Oklahoma Employees Insurance and Benefits Act; opt-out option; removing group insurance; effective date.		
HB1287	senate	1606684	2025-05-28	fourth reading	28	18	1606683	B	4	Schools; authorizing the Board of Regents of the University of Oklahoma to create a math tutoring pilot program for certain students; effective date; emergency.	Schools; authorizing the Board of Regents of the University of Oklahoma to create a math tutoring pilot program for certain students; effective date; emergency.		
HB1356	senate	1606915	2025-05-29	veto override no emergency	32	11	1606913	B	4	Agriculture; livestock gates; requiring gates to be closed at all times; exceptions; penalties; rules; codification; effective date.	Agriculture; livestock gates; requiring gates to be closed at all times; exceptions; penalties; rules; codification; effective date.		
HB1392	senate	1607292	2025-04-28	third reading	28	14		B	4	Counties and county officers; county treasurer fee; effective date.	Counties and county officers; county treasurer fee; effective date.		
HB1409	senate	1664729	2026-03-17	third reading	32	10		B	4	Open meetings; Oklahoma Open Meeting Act; email distribution systems; effective date.	Open meetings; Oklahoma Open Meeting Act; email distribution systems; effective date.		
HB1427	senate	1605207	2025-05-07	third reading	17	25		B	4	Tax credit; expanding forms of taxation for which a credit is allowed; clean-burning vehicle fuel; hydrogen fuel cells; effective date.	Tax credit; expanding forms of taxation for which a credit is allowed; clean-burning vehicle fuel; hydrogen fuel cells; effective date.		
HB1543	senate	1605525	2025-05-29	veto override no emergency	32	13	1605524	B	4	Oklahoma Conservation Commission; expanding powers and duties of the Commission; effective date.	Oklahoma Conservation Commission; expanding powers and duties of the Commission; effective date.		
HB1575	senate	1604609	2025-05-06	third reading	32	13		B	4	Public assistance programs; directing certain feasibility study and request for information; requiring certain report.	Public assistance programs; directing certain feasibility study and request for information; requiring certain report.		
HB1576	senate	1605043	2025-05-29	veto override with emergency	36	9	1605040;1605041	B	4	Medicaid; terms; Oklahoma Health Care Authority; coverage; Medicaid; criteria; medical necessity; discretion; Chief Operating Officer; Health Information Portability and Accountability Act; scientific research; consent; research; opting-out; minors; promulgation of rules and regulations; waiver application; effective date; emergency.	Medicaid; terms; Oklahoma Health Care Authority; coverage; Medicaid; criteria; medical necessity; discretion; Chief Operating Officer; Health Information Portability and Accountability Act; scientific research; consent; research; opting-out; minors; promulgation of rules and regulations; waiver application; effective date; emergency.		
HB1646	senate	1607051	2025-04-30	third reading	34	11		B	4	Professions and occupations; real estate appraisers; educational requirements as specified by the Appraiser Qualifications Board of the Appraisal Foundation; effective date.	Professions and occupations; real estate appraisers; educational requirements as specified by the Appraiser Qualifications Board of the Appraisal Foundation; effective date.		
HB1663	senate	1605192	2025-05-05	third reading	33	12		B	4	Revenue and taxation; ad valorem tax; delinquent tax; sale procedures; online procedures; effective date.	Revenue and taxation; ad valorem tax; delinquent tax; sale procedures; online procedures; effective date.		
HB1675	senate	1691563	2026-04-29	third reading	30	16		B	4	Emergency management; defining terms; assessments and reviews; warning systems; drills; recreational campgrounds; emergency plans on file; effective date.	Emergency management; defining terms; assessments and reviews; warning systems; drills; recreational campgrounds; emergency plans on file; effective date.		
HB1727	senate	1605730	2025-05-28	fourth reading	35	10	1605729	B	4	Higher education; Oklahoma Higher Learning Access Program; eligibility for children of certain teachers; effective date; emergency.	Higher education; Oklahoma Higher Learning Access Program; eligibility for children of certain teachers; effective date; emergency.		
HB1819	senate	1608609	2025-05-29	veto override no emergency	33	11	1608608	B	4	Professions and occupations; optometry licenses; annual fees; effective date.	Professions and occupations; optometry licenses; annual fees; effective date.		
HB1833	senate	1608535	2025-05-05	third reading	29	16		B	4	Labor; creating the Rethinking Paying Subminimal Wage to Persons with Disabilities Task Force; purpose; membership; reporting; effective date.	Labor; creating the Rethinking Paying Subminimal Wage to Persons with Disabilities Task Force; purpose; membership; reporting; effective date.		
HB2011	senate	1605353	2025-05-08	third reading	33	11		B	4	Tax credits; Fighting Chance for Firefighters Act; income tax credit for certain unreimbursed medical costs incurred by firefighters; limitation; effective date.	Tax credits; Fighting Chance for Firefighters Act; income tax credit for certain unreimbursed medical costs incurred by firefighters; limitation; effective date.		
HB2036	senate	1607104	2025-05-07	third reading	36	11		B	4	Condemnation proceedings; establishing requirements for reimbursement of certain expenses; effective date.	Condemnation proceedings; establishing requirements for reimbursement of certain expenses; effective date.		
HB2049	senate	1605785	2025-04-30	third reading	33	11		B	4	Medicaid parity; coverage; mental health and substance use disorders; contract compliance; noncompliance reviews; Oklahoma Health Care Authority; complaints; publication of reports; effective date.	Medicaid parity; coverage; mental health and substance use disorders; contract compliance; noncompliance reviews; Oklahoma Health Care Authority; complaints; publication of reports; effective date.		
HB2105	senate	1604690	2025-05-06	third reading	35	9		B	4	Felony reclassification; modifying classifications for certain crimes; effective date.	Felony reclassification; modifying classifications for certain crimes; effective date.		
HB2110	senate	1604779	2025-05-06	third reading	31	14		B	4	Revenue and taxation; Bringing Sitcoms Home from Hollywood Pilot Program Act; short title; definitions; incentives; procedures; revolving fund; effective date.	Revenue and taxation; Bringing Sitcoms Home from Hollywood Pilot Program Act; short title; definitions; incentives; procedures; revolving fund; effective date.		
HB2131	senate	1605967	2025-05-29	veto override no emergency	32	13	1605966	B	4	Criminal procedure; procedures for advising grand juries; transcripts; hearings; witnesses; effective date.	Criminal procedure; procedures for advising grand juries; transcripts; hearings; witnesses; effective date.		
HB2153	senate	1691516	2026-04-29	third reading	35	12		B	4	Schools; school athletic association requirements; requirement that certain hearings be subject to certain act; effective date; emergency.	Schools; school athletic association requirements; requirement that certain hearings be subject to certain act; effective date; emergency.		
HB2167	senate	1605832	2025-05-29	veto override no emergency	35	10	1605831	B	4	Fees; publications; legal notices; fees; effective date.	Fees; publications; legal notices; fees; effective date.		
HB2260	senate	1605518	2025-05-29	veto override no emergency	34	11	1605515;1605516	B	4	Revenue and taxation; income tax credit; civil engineering; effective date.	Revenue and taxation; income tax credit; civil engineering; effective date.		
HB2261	senate	1608937	2025-04-30	third reading	34	10		B	4	Professions and occupations; licensing; social workers; compact; procedures; commission; effective date.	Professions and occupations; licensing; social workers; compact; procedures; commission; effective date.		
HB2268	senate	1691694	2026-04-29	third reading	34	9		B	4	Oklahoma Health Care Authority; making an appropriation; effective date; emergency.	Oklahoma Health Care Authority; making an appropriation; effective date; emergency.		
HB2286	senate	1605748	2025-05-05	third reading	25	20		B	4	Professions and occupations; Oklahoma Funeral Board appointment; creating assistant funeral director license; establishing requirements; creating procedures; establishing certain fees; effective date; emergency.	Professions and occupations; Oklahoma Funeral Board appointment; creating assistant funeral director license; establishing requirements; creating procedures; establishing certain fees; effective date; emergency.		
HB2298	senate	1605628	2025-05-30	veto override no emergency	32	14	1605625	B	4	Practice of nursing; providing for independent prescriptive authority of Advanced Practice Registered Nurses who meet certain requirements; modifying various provisions of the Oklahoma Pharmacy Act, the Oklahoma Nursing Practice Act, and the Uniform Controlled Dangerous Substances Act; effective date.	Practice of nursing; providing for independent prescriptive authority of Advanced Practice Registered Nurses who meet certain requirements; modifying various provisions of the Oklahoma Pharmacy Act, the Oklahoma Nursing Practice Act, and the Uniform Controlled Dangerous Substances Act; effective date.		
HB2374	senate	1606015	2025-05-29	veto override with emergency	36	9	1606014	B	4	Revenue and taxation; Filmed in Oklahoma Act of 2021; procedures for withholding tax; income tax treatment; set aside amount for economic impact reviews; effective date; emergency.	Revenue and taxation; Filmed in Oklahoma Act of 2021; procedures for withholding tax; income tax treatment; set aside amount for economic impact reviews; effective date; emergency.		
HB2398	senate	1683210	2026-04-15	third reading	36	9		B	4	Education; authorizing the State Regents for Higher Education and the Department of Career and Technology Education to designate a credential of value.	Education; authorizing the State Regents for Higher Education and the Department of Career and Technology Education to designate a credential of value.		
HB2516	senate	1607210	2025-05-22	fourth reading	30	12	1607209	B	4	Military infrastructure funding; creating the Base Infrastructure Needs and Development-Schools Revolving Fund; Military Department; budgeting; utilizations of funds; effective date; emergency.	Military infrastructure funding; creating the Base Infrastructure Needs and Development-Schools Revolving Fund; Military Department; budgeting; utilizations of funds; effective date; emergency.		
HB2584	senate	1607894	2025-05-30	veto override no emergency	33	13	1607891	B	4	Physicians assistants; Pharmacy Act; prescriptions for controlled dangerous substances; Physician Assistant Act; Committee; members; requirements; Public Health Code; authority for physician assistants to carry out certain functions; prescribing and administering controlled substances; supervision.	Physicians assistants; Pharmacy Act; prescriptions for controlled dangerous substances; Physician Assistant Act; Committee; members; requirements; Public Health Code; authority for physician assistants to carry out certain functions; prescribing and administering controlled substances; supervision.		
HB2673	senate	1608265	2025-05-08	third reading	28	18		B	4	State government; Oklahoma Museum of Popular Culture Supplemental Revolving Fund; modifying determined funds provided for expenditures; effective date.	State government; Oklahoma Museum of Popular Culture Supplemental Revolving Fund; modifying determined funds provided for expenditures; effective date.		
HB2744	senate	1608116	2025-05-05	third reading	33	13		B	4	Appropriations and budget; reappropriation; Department of Commerce; emergency.	Appropriations and budget; reappropriation; Department of Commerce; emergency.		
HB2746	senate	1604930	2025-04-30	third reading	32	14		B	4	Revenue and Taxation; Remote Quality Jobs Incentive Act; eligibility requirements for basic health benefits plans; effective date.	Revenue and Taxation; Remote Quality Jobs Incentive Act; eligibility requirements for basic health benefits plans; effective date.		
HB2749	senate	1693640	2026-05-04	third reading	34	10		B	4	Medicaid; directing establishment of certain nursing facility add-on rate under specified conditions; effective date; emergency.	Medicaid; directing establishment of certain nursing facility add-on rate under specified conditions; effective date; emergency.		
HB2762	senate	1607362	2025-05-07	third reading	26	17		B	4	International corporation agents; creating the International Corporation Agent Political Activity Oversight Act of 2025; effective date.	International corporation agents; creating the International Corporation Agent Political Activity Oversight Act of 2025; effective date.		
HB2764	senate	1606364	2025-05-22	third reading	34	11		B	4	Revenue and taxation; duties of the State Board of Equalization; certification of revenue amounts; income tax rate reduction; effective date.	Revenue and taxation; duties of the State Board of Equalization; certification of revenue amounts; income tax rate reduction; effective date.		
HB2765	senate	1606311	2025-05-22	third reading	35	11		B	4	State investing; Invest in Oklahoma Program; reassigning program; investments; rules renaming Cash Management and Investment Oversight Commission the Invest in Oklahoma Board; effective date.	State investing; Invest in Oklahoma Program; reassigning program; investments; rules renaming Cash Management and Investment Oversight Commission the Invest in Oklahoma Board; effective date.		
HB2766	senate	1605245	2025-05-22	third reading	27	19		B	4	General appropriations; various agencies, authorities, boards, bureaus, commission, funds and programs; effective date.	General appropriations; various agencies, authorities, boards, bureaus, commission, funds and programs; effective date.		
HB2768	senate	1607388	2025-05-22	third reading	31	15		B	4	Revenue and taxation; Oklahoma Quality Jobs Incentive Leverage Act; increasing certain limitation caps related to qualifying investment amounts.	Revenue and taxation; Oklahoma Quality Jobs Incentive Leverage Act; increasing certain limitation caps related to qualifying investment amounts.		
HB2769	senate	1607274	2025-05-29	veto override no emergency	32	14	1607273	B	4	Militia; Military Department; Adjutant General's duties; eligibility; authority; technology hardware or software; exempting federal programs; nonjudicial punishment; court-martial; creating National Guard CareerTech Assistance Program; creating revolving fund; effective date.	Militia; Military Department; Adjutant General's duties; eligibility; authority; technology hardware or software; exempting federal programs; nonjudicial punishment; court-martial; creating National Guard CareerTech Assistance Program; creating revolving fund; effective date.		
HB2770	senate	1604718	2025-05-22	third reading	29	16		B	4	Courts; judicial salaries; applicability; exceptions; modifying salary references; effective date; emergency.	Courts; judicial salaries; applicability; exceptions; modifying salary references; effective date; emergency.		
HB2771	senate	1606285	2025-05-22	third reading	34	10		B	4	Courts; special judges; increasing number in specific counties; effective date; emergency.	Courts; special judges; increasing number in specific counties; effective date; emergency.		
HB2773	senate	1607227	2025-05-22	third reading	34	10		B	4	Capitol Improvement Authority; allocation of funds from Legacy Capital Financing Funds; utilization of certain amount for the Oklahoma State University Veterinary Medicine Authority.	Capitol Improvement Authority; allocation of funds from Legacy Capital Financing Funds; utilization of certain amount for the Oklahoma State University Veterinary Medicine Authority.		
HB2774	senate	1606639	2025-05-22	third reading	34	10		B	4	Capitol Improvement Authority; allocation of funds from the Legacy Capital Financing Fund; utilizing certain amount for the University Hospitals Authority.	Capitol Improvement Authority; allocation of funds from the Legacy Capital Financing Fund; utilizing certain amount for the University Hospitals Authority.		
HB2776	senate	1606238	2025-05-22	third reading	31	13		B	4	Capitol Improvement Authority; utilization of Legacy Capital Fund authorizations by the Office of Management and Enterprise Services; increasing certain amount.	Capitol Improvement Authority; utilization of Legacy Capital Fund authorizations by the Office of Management and Enterprise Services; increasing certain amount.		
HB2778	senate	1606320	2025-05-29	veto override no emergency	36	9	1606319	B	4	Children; sunset; creating the Teacher Recrutiment and Retention Program; income exemption; child care subsidy program; notice to Department of Human Services; effective date.	Children; sunset; creating the Teacher Recrutiment and Retention Program; income exemption; child care subsidy program; notice to Department of Human Services; effective date.		
HB2781	senate	1604484	2025-05-22	third reading	36	9		B	4	Economic development; creating the Reindustrialize Oklahoma Act of 2025; investment rebate program; creating the ROA-25 Revolving Fund and the ROA-25 Beneficiary Revolving Fund.	Economic development; creating the Reindustrialize Oklahoma Act of 2025; investment rebate program; creating the ROA-25 Revolving Fund and the ROA-25 Beneficiary Revolving Fund.		
HB2782	senate	1605535	2025-05-22	third reading	31	14		B	4	Health Care Authority; Rate Preservation Fund; adding authorized uses of funds; authorization; requiring conditions for return of funds; emergency.	Health Care Authority; Rate Preservation Fund; adding authorized uses of funds; authorization; requiring conditions for return of funds; emergency.		
HB2784	senate	1605278	2025-05-22	third reading	31	13		B	4	Public health; Oklahoma State University Medical Authority; Medicaid supplemental payments; agreements and contract; benefits; waivers; creating the Emergency Medicine Revolving Fund; effective date.	Public health; Oklahoma State University Medical Authority; Medicaid supplemental payments; agreements and contract; benefits; waivers; creating the Emergency Medicine Revolving Fund; effective date.		
HB2786	senate	1643409	2026-02-24	third reading	38	10		B	4	Department of Mental Health and Substance Abuse Services; making an appropriation; source; amount; purpose; emergency.	Department of Mental Health and Substance Abuse Services; making an appropriation; source; amount; purpose; emergency.		
HB2790	senate	1607465	2025-05-22	third reading	36	9		B	4	Office of Juvenile Affairs; making an appropriation; accounts; deposits or transfers; procedures; reports; requiring appearance before certain joint committee; effective date; emergency.	Office of Juvenile Affairs; making an appropriation; accounts; deposits or transfers; procedures; reports; requiring appearance before certain joint committee; effective date; emergency.		
HB2791	senate	1604969	2025-05-22	third reading	31	14		B	4	Department of Human Services; making appropriations; source; amounts; creating certain special accounts; deposits or transfers; procedures; reports; requiring appearance before certain joint committee.	Department of Human Services; making appropriations; source; amounts; creating certain special accounts; deposits or transfers; procedures; reports; requiring appearance before certain joint committee.		
HB2792	senate	1606569	2025-05-22	third reading	35	9		B	4	Progressing Rural Economic Prosperity Fund; declaring the fund a continuing fund; source; reappropriation of funds; emergency.	Progressing Rural Economic Prosperity Fund; declaring the fund a continuing fund; source; reappropriation of funds; emergency.		
HB2793	senate	1606530	2025-05-22	third reading	31	12		B	4	Emergency Medicine Revolving Fund; making an appropriation; source; amount; effective date; emergency.	Emergency Medicine Revolving Fund; making an appropriation; source; amount; effective date; emergency.		
HB2794	senate	1604431	2025-05-22	third reading	25	20		B	4	Department of Commerce; making appropriations; sources; amounts; purposes.	Department of Commerce; making appropriations; sources; amounts; purposes.		
HB2797	senate	1607469	2025-05-22	third reading	35	10		B	4	Health Care Authority; prohibiting use of certain methodology; audits; fraud reporting; requiring joint collaboration between Department of Mental Health and Substance Abuse Services and Department of Human Services; duties; emergency.	Health Care Authority; prohibiting use of certain methodology; audits; fraud reporting; requiring joint collaboration between Department of Mental Health and Substance Abuse Services and Department of Human Services; duties; emergency.		
HB2804	senate	1604741	2025-04-30	third reading	33	10		B	4	Alcoholic beverages; prohibited acts of licensees; effective date.	Alcoholic beverages; prohibited acts of licensees; effective date.		
HB2837	senate	1608193	2025-05-05	third reading	31	14		B	4	Medical marijuana; requiring medical marijuana business employees to submit proof of completion of education training; effective date.	Medical marijuana; requiring medical marijuana business employees to submit proof of completion of education training; effective date.		
HB2894	senate	1690328	2026-04-28	third reading	34	10		B	4	Oklahoma Rural Jobs Act; cap on capital investment tax credits; authorizing and limiting additional participation in program under certain conditions.	Oklahoma Rural Jobs Act; cap on capital investment tax credits; authorizing and limiting additional participation in program under certain conditions.		
HB3000	senate	1691595	2026-04-29	third reading	25	19		B	4	Professions and occupations; State Board of Cosmetology and Barbering; licenses and fees; extending sunset; modifying certain membership qualification under certain condition; effective date; emergency.	Professions and occupations; State Board of Cosmetology and Barbering; licenses and fees; extending sunset; modifying certain membership qualification under certain condition; effective date; emergency.		
HB3005	senate	1685576	2026-04-20	third reading	36	10		B	4	State government; Oklahoma Climatological Survey; sunset; effective date; emergency.	State government; Oklahoma Climatological Survey; sunset; effective date; emergency.		
HB3016	senate	1688851	2026-04-23	third reading	34	10		B	4	Schools; Binocular Vision Screening Pilot Program; eye disorders; students in kindergarten, first, or third grades; State Department of Education; State Department of Health; comprehensive binocular vision screenings; Binocular Screening Revolving Fund; effective date; emergency.	Schools; Binocular Vision Screening Pilot Program; eye disorders; students in kindergarten, first, or third grades; State Department of Education; State Department of Health; comprehensive binocular vision screenings; Binocular Screening Revolving Fund; effective date; emergency.		
HB3151	senate	1690007	2026-04-27	third reading	30	17		B	4	Schools; length of school year; increasing minimum days of instruction; requiring parent-teacher conferences to have an in-person option; contingent effective date.	Schools; length of school year; increasing minimum days of instruction; requiring parent-teacher conferences to have an in-person option; contingent effective date.		
HB3320	senate	1691459	2026-04-29	third reading	33	13		B	5	Sunsets; removing sunsets from certain agencies, boards, and commissions; repealing the Oklahoma Sunset Act; repealers; emergency.	Sunsets; removing sunsets from certain agencies, boards, and commissions; repealing the Oklahoma Sunset Act; repealers; emergency.		
HB3467	senate	1691843	2026-04-29	third reading	36	10		B	4	Education employees; maternity leave; adoption; purpose; effective date; emergency.	Education employees; maternity leave; adoption; purpose; effective date; emergency.		
HB3590	senate	1691513	2026-04-29	third reading	36	9		B	4	Revenue and taxation; Oklahoma Equal Opportunity Education Scholarship Act; eligibility; removing federal law reference; authorizing payment be made via secure electronic funds transfer; effective date.	Revenue and taxation; Oklahoma Equal Opportunity Education Scholarship Act; eligibility; removing federal law reference; authorizing payment be made via secure electronic funds transfer; effective date.		
HB3622	senate	1688932	2026-04-23	third reading	32	11		B	4	2030 Census; creating the U.S. Decennial Census Revolving Fund; establishing fund at Commerce; deeming funds appropriated; requirements and limitations; effective date.	2030 Census; creating the U.S. Decennial Census Revolving Fund; establishing fund at Commerce; deeming funds appropriated; requirements and limitations; effective date.		
HB3644	senate	1690366	2026-04-28	third reading	36	11		B	4	Venous thromboembolism; creating the Blake Burgess Act; requiring certain hospital policies and training; establishing certain registry and reporting requirements; imposing certain requirements on assisted living centers; effective date; emergency.	Venous thromboembolism; creating the Blake Burgess Act; requiring certain hospital policies and training; establishing certain registry and reporting requirements; imposing certain requirements on assisted living centers; effective date; emergency.		
HB3649	senate	1687874	2026-04-22	third reading	37	10		B	4	Real property; Department of Mental Health and Substance Abuse Services; trust; proceeds of sales; Department of Mental Health and Substance Abuse Services Real Property Trust; permissible use of proceeds; descriptions of tracts of land; effective date.	Real property; Department of Mental Health and Substance Abuse Services; trust; proceeds of sales; Department of Mental Health and Substance Abuse Services Real Property Trust; permissible use of proceeds; descriptions of tracts of land; effective date.		
HB3661	senate	1693608	2026-05-05	third reading	34	13		B	4	Revenue and taxation; sales tax; exemptions; commercial forestry equipment; effective date.	Revenue and taxation; sales tax; exemptions; commercial forestry equipment; effective date.		
HB3718	senate	1694131	2026-05-05	third reading	33	13		B	4	Special education; Lindsey Nicole Henry Scholarships for Students with Disabilities Program; requiring certain meeting in certain time period; evaluations; exceptions; eligibility; calculation of scholarship; effective date.	Special education; Lindsey Nicole Henry Scholarships for Students with Disabilities Program; requiring certain meeting in certain time period; evaluations; exceptions; eligibility; calculation of scholarship; effective date.		
HB3800	senate	1693070	2026-05-04	third reading	36	11		B	4	Roofing contractors; Roofing Contractor Registration Act; definitions; violations; fees; fines; application; repealer; effective date.	Roofing contractors; Roofing Contractor Registration Act; definitions; violations; fees; fines; application; repealer; effective date.		
HB3831	senate	1687684	2026-04-22	third reading	37	10		B	4	Emergency management Services; recognizing Oklahoma Task Force 1 as the official deployment asset team; creating the Oklahoma Task Force 1 Revolving Fund; source; purpose; restrictions; codification; effective date.	Emergency management Services; recognizing Oklahoma Task Force 1 as the official deployment asset team; creating the Oklahoma Task Force 1 Revolving Fund; source; purpose; restrictions; codification; effective date.		
HB3834	senate	1691781	2026-04-29	third reading	33	9		B	4	Ibogaine clinical trials; Oklahoma Breakthrough Therapy Act; terms; requirements for drug developers; contractual terms; intellectual property rights; reports; intellectual property account; effective date.	Ibogaine clinical trials; Oklahoma Breakthrough Therapy Act; terms; requirements for drug developers; contractual terms; intellectual property rights; reports; intellectual property account; effective date.		
HB3880	senate	1693725	2026-05-05	third reading	32	14		B	4	Tourism; commissions from tourism magazine and digital prints; additional employee compensation; effective date.	Tourism; commissions from tourism magazine and digital prints; additional employee compensation; effective date.		
HB3940	senate	1691821	2026-04-29	third reading	28	17		B	4	Oklahoma National Guard; requiring certain compensation to be provided by the Oklahoma National Guard Supplemental Retention Pay Revolving Fund; effective date.	Oklahoma National Guard; requiring certain compensation to be provided by the Oklahoma National Guard Supplemental Retention Pay Revolving Fund; effective date.		
HB3979	senate	1691703	2026-04-29	third reading	32	12		B	4	Public finance; Oklahoma Economic Development Pooled Finance Act; Infrastructure Pool; Economic Development Pool; caps; effective date; emergency.	Public finance; Oklahoma Economic Development Pooled Finance Act; Infrastructure Pool; Economic Development Pool; caps; effective date; emergency.		
HB3980	senate	1690255	2026-04-27	third reading	28	19		B	4	District Attorneys Council; Rural District Attorney Loan Repayment Assistance Program; Rural District Attorney Loan Repayment Assistance Program Revolving Fund; codification; effective date.	District Attorneys Council; Rural District Attorney Loan Repayment Assistance Program; Rural District Attorney Loan Repayment Assistance Program Revolving Fund; codification; effective date.		
HB3981	senate	1689923	2026-04-27	third reading	26	22		B	4	District Attorneys Council; District Attorney Locality Incentive Program; District Attorney Locality Incentive Program Revolving Fund; codification; effective date.	District Attorneys Council; District Attorney Locality Incentive Program; District Attorney Locality Incentive Program Revolving Fund; codification; effective date.		
HB3985	senate	1691905	2026-04-29	third reading	30	16		B	4	Property; Oklahoma Safe Neighborhoods Act of 2026; requiring compensation for certain property damage; claims; effective date.	Property; Oklahoma Safe Neighborhoods Act of 2026; requiring compensation for certain property damage; claims; effective date.		
